"","FECHAPROCESO","TIPOTX","CANAL","valtransaccion","transacciones","consistentes","conciliado","peso_val","peso_trans"
"100","2022-09-01","PagosDIANRecibidos","PSE",97481166.6666667,6,6,100,2.07931316698279,0.000563831876611032
"101","2022-09-01","PagosEmpresasEnviados","PSE",348436.061292504,10793,8059,74.668766793292,0.0074322837412744,1.01423957404381
"102","2022-09-01","PagosEmpresasRecibidos","PSE",3706548.15993543,1239,1133,91.4447134786118,0.0790621886929569,0.116431282520178
"103","2022-09-01","PagosSSSEnviados","PSE",1621214.86291486,693,581,83.8383838383838,0.0345811763055128,0.0651225817485742
"104","2022-09-01","PagosSSSOtrosCanalesEnviado","PSE",201566.666666667,3,0,0,0.00429949946596349,0.000281915938305516
"105","2022-09-01","PagosSSSRecibidos","PSE",556165.253136934,1833,117,6.38297872340426,0.0118632323905227,0.17225063830467
"106","2022-09-01","SeguridadSocialONIFRecibidos","ACH",71243.3701657459,362,0,0,0.00151965023307953,0.0340178565555323
"107","2022-09-02","CreditosEnviados","ACH",2797947.80483397,5782,4568,79.0038049117952,0.0596813713875179,0.543345985094165
"108","2022-09-02","CreditosRecibidos","ACH",2824925.18990247,10663,10660,99.9718653287067,0.0602568100481518,1.00202321671724
"109","2022-09-02","DebitosEnviados","ACH",173236.64556962,316,311,98.4177215189873,0.00369520852544347,0.0296951455015144
"110","2022-09-02","DebitosRecibidos","ACH",215243.457485994,1428,1427,99.9299719887955,0.00459123100965686,0.134191986633426
"111","2022-09-02","DevolucionesCreditosEnviados","ACH",1918247.52218978,137,134,97.8102189781022,0.0409170044513349,0.0128741611826186
"112","2022-09-02","DevolucionesCreditosRecibidos","ACH",672811.902160804,199,199,100,0.0143513531372627,0.0187004239075992
"113","2022-09-02","DevolucionesDebitosEnviados","ACH",295089.756099881,841,838,99.6432818073722,0.00629438522620837,0.0790304347049797
"114","2022-09-02","DevolucionesDebitosRecibidos","ACH",186933.107476636,214,183,85.5140186915888,0.00398735966148515,0.0201100035991268
"115","2022-09-02","PagosDIANEnviados","PSE",6531819.14893617,188,171,90.9574468085106,0.13932637477735,0.0176667321338123
"116","2022-09-02","PagosDIANRecibidos","PSE",31409700,10,10,100,0.669981751493666,0.00093971979435172
"117","2022-09-02","PagosEmpresasEnviados","PSE",369970.667991605,10959,8030,73.2731088602975,0.00789162571251229,1.02983892263005
"118","2022-09-02","PagosEmpresasRecibidos","PSE",2795130.02505106,1273,1150,90.3377847604085,0.0596212669919243,0.119626329820974
"119","2022-09-02","PagosSSSEnviados","PSE",3895930.50927247,701,593,84.5934379457917,0.0831017916853704,0.0658743575840556
"120","2022-09-02","PagosSSSOtrosCanalesEnviado","PSE",224250,4,0,0,0.00478334424628235,0.000375887917740688
"121","2022-09-02","PagosSSSRecibidos","PSE",546918.630668127,1826,105,5.75027382256298,0.0116659981502386,0.171592834448624
"122","2022-09-02","SeguridadSocialONIFRecibidos","ACH",115974.525745257,369,0,0,0.00247378408222476,0.0346756604115785
"123","2022-09-03","CreditosEnviados","ACH",3262267.27382722,5730,4558,79.5462478184991,0.0695854956258491,0.538459442163536
